Question,Labels,Annotation Type
أعاني من الرهاب الاجتماعي مع أشخاص معينة فقط ، فحين التحدث إليهم أبدأ بالتعرق و الرجفة و قد وصل في بعض المرات إلى الهذيان,['Social|Relationship'],Human Annotators
أعاني من الرهاب الاجتماعي وبحثت كثيراً عن الطرق المثلى لعلاجه فوجدت أن العلاج السلوكي المعرفي ، هو أفضلها ، و شاهدت الكثير من الفيديوهات الإنجليزية والعربية واستفدت ... يتبع,['No'],Human Annotators
أعاني من القلق والتوتر الذي ازداد مع انتشار كورونا... اعيش حالة القلق وصلت الى حد تخيل أني مصابة بالمرض واصبحت اتخيل اعراضه وفي الحقيقة لست مصابة ومع اني ملتزمة بالمنزل منذ مايقرب من شهرين لم أغادره وطوال كل هذه الفترة وانا أعاني من الضغط والقلق ساعدوني كيف أتصرف؟,['No'],Human Annotators
أعاني من رهاب إجتماعي حيت أجد صعوبة مثلا في الأكل في الأماكن العمومية و الكتابة أمام الناس بحيت ترتجف يداي و تزداد ضربات قلبي عكس عندما أكون وحدي ومع عائلتي,['Social|Relationship'],Human Annotators
أعاني من فقدان للتركيز لا استطيع أن احدد مداه بالضبط و لكن أشعر بفقدان للتركيز ، بالاضافة لاعراض الحزن أشعر بالحزن في كثير من الأحيان ، قلة ثقة بالنفس ، تفكير كثير ، سلبية في المشاعر ، بالنسبة للتركيز اشعر بالنسيان في العديد من المرات او فهم بسيط لكتاب قد أقرأه أو نسيان ما قيل لي مثلا قبل وقت قليل,['No'],Human Annotators
أعاني من قلق و ضغط نفسي و سبب أشياء سلبية و كلام سلبي و حتى مو موجهة لشخصي هذا شئ مأثر على نفسيتي و أحاول تخلص من هذا أنزعاج لكن لم ينجح وكيف أتخلص من منها؟,['No'],Human Annotators
أعاني من مزاج متقلب قلة في النوم أفكار كثيره تدور في مخيلتي أخاف جدا من الفضائح أحب العزله خوف من القادم,['No'],Human Annotators
"أعاني من مشكل في دماغي احس بضغط فيه و لا أستطيع التركيز و الاستيعاب ولو ل 15 دقيقة وبعد محاولة التركيز و استيعاب الشرح أحس بألم في رأسي و بعض الأحيان لا أستطيع حل أبسط الأشياء و أحس أن دماغي توقف عن التفكير , هذا مع العلم أنني في الصيف كنت أسهر كثييييييرا أمام شاشة الكمبيوتر و الطبيب شخص لي التهاب الأنف التحسسي",['No'],Human Annotators
أكره أبي منذ الصغر ولا احب التحدث معه لأنه عندما كنت طفلة كنت بدينة وكان دائم التنمر على شكلي ويقارنني بالفتيات الأخريات وكل عائلتي وأقاربي نفس الشيء دائما يتنمرون علي والآن أنا أقترب من العشرينات وما زالت ثقتي بنفسي متزعزعة وأرفض فكرة الزواج لأنني غير راضية عن شكلي,['Social|Relationship'],Human Annotators
أنا طالب أعاني من توتر نفسي وعلى مرور ٤ سنوات ارسب في صفي الأخير ولا اتخرج من هذه المرحلة مع أن كنت طالب مجتهد جداً في الصفوف التي قبله ما الحل,['No'],Human Annotators
أنا طالب جزائري في اوروبا. حصلت معي مؤخرا مشكال عاطفية ونفسية شديدة و انا حاليا امر مرحلة جد صعبة. انا لا انام اكثر من 3 سعات في الليلة لاكثر من شهرين وعدي ضيقة في الصدر في اخر 20 يوم. استيقظ في وسط الليل كل ليلة بضيقة شديدة في الصدر ولا استطيع النوم. لم استطع الدراسة بهذه الحالة.,['Social|Demographics'],Human Annotators
ابحث عن طبيب يسطتيع علاج تعدد الشخصية الطبيب السوداني شخصني بفصام البرانويا واعطاني دواء ريسبريدون لكن كلما احدثة عن التعدد يقول هذه الحبوب ستشفيك منه وانا اعرف علاجه بالتنو,['No'],Human Annotators
ابكي بدون سبب واحس ان ودي انتحر واحس بشعور غريب اعاني من اشياء كثيره ونفسيتي تعبت واحس ومالي خلق اطلع مكان او اقابل احد,['Social|Relationship'],Human Annotators
ابنتي عمرها 15عام عندها وسواس قهري في التفكير منذ الطفوله حتى الان تصل انها تفكر انها كافرة والكثير من الاشياء في جميع المجالات اي شيء تشاهده تفكر فيه و تتخايله وتخبرني به تشعر بعد ذلك انه ضميرهامرتاح و علينا قول ان هذا الشيء صح و حلال وتستمر بإخباري كل ما تفكر فيه انا تعبت وخايفه عليها أيضا,['Religion'],Human Annotators
ابني شاب عنده ٢٢ سنه بيتعاطى شئ من الممنوعات ( انا لا اعلمه لحد الان ) بس الاعراض اللي بشوفها عليه ( سكوت دائما والنوم كتير جداا ولما بيصحى بياكل كتيير وعينه محمره شويا ) اتعامل ازاي معاه وايه العلاج ف الحاله ديه واستخدمه ف البيت ؟,"['Social|Demographics', 'Social|Relationship']",Human Annotators
ابي اسال اذ مريض الايدز يعادي افراد اسرتي ؟,['No'],Human Annotators
احب فتاة شخصت ثنائي القطب فصام واخرها اضطراب الشخصية الحدية كانت تحبني في البداية وساعدها هذا بتحسن كبير واي انتكاسة كنت قريب منهاوتمر بسلام ولما اردت خطبتها رفضت امها لاني من بلد اخر وكانت تزرع افكار غريبة عني براسها وانتكست كثيرا وتتصرف بغرابة وتشتم واعذرها واتعامل معها بلطف اريد انقاذها ماذا افعل,"['Culture|Norms and Morals', 'Social|Demographics']",Human Annotators
احس اني فيني اكتئاب يعني صرت ابكي من دون اسباب اكره اخواتي صرت احب العزله افكر بالموت وتدمير النفس صرت مااثق في نفسي,['Social|Relationship'],Human Annotators
احس بانفصال عن الواقع ودائما ابلع ريقي باستمرار ولست مركزه مع الذي يحصل ودائما اشعر ان الناس تنظر لي حولي مع العلم اني كنت داخله في حالة هستيريا لكن تعالجت بالادويه,['No'],Human Annotators
احس بخمول وتعب، وابكي كثيرا على أمور انا اتخيلها، احس بشعور سيء ما اعرف مصدره يخليني احيانا افكر ان مافي حل غير قتل نفسي، من عمر ١٣ انا هكذا، ظنيت اني تجاوزت الأمر بس رجع,['No'],Human Annotators
اختناق.خفقان،احياناً تعب وألم في الرأس والبكاء,['No'],Human Annotators
اخذت دواء سيروكسات ٢٥ لمدة ثلاث شهور وتركته ٥ايام ثم اخذت جرعة اقل الي هي سيروكسات٢٠ لمدة اسبرع ومازلت والان ابي اتركه نهائي لاني تحسنت جدا وليس لدي طبيب الرجاء رد على سؤالي,['No'],Human Annotators
اخي مريض فصام نعطيه الدواء دون علمه من ٤ اشهر حالته تحسنت لكن يجب اخباره ولا اعرف كيف ولا اعلم رد فعله وهو الان عازم على العيش بمفرده وانا اخاف من انتكاسه واحتاج المعونه والمشوره في حال عرف انه مريض ما هي ردود فعله المتوقعه,['No'],Human Annotators
اخي مريض فصام ويرفض اخذ الدواء بشكل يومي دواؤه بما يعرف ب( Olanzapine 10mg) هل أستطيع في هذه الحالة ان اقوم بتذويب حبة دواء Olanzapine في كأس من الشاي الساخن او في الطعام وإعطاؤه له؟ هل يبقى مفعول الدواء سارياً؟ وهل له اضرار في حالة تذويبه مع جسم ساخن؟,['No'],Human Annotators
ادمان على القفز انا فعليا مدمنة على لعبة القفز حيث اقوم بتشغيل الموسيقى والقفز لساعات، بدا هدا كرياضه ومع الوقت ادركت انني ادمنته لانني احس انه يخلصني من التفكير الزائد,['No'],Human Annotators
ارجوا ان اجد حل لمشكلتي باذن الله في هذا الموقع الرائع انشاء الله مشكلتي هيا أرق والتفكير والوسواس القهري الخفيف عمري 18 سنة وزني 43 طولي 135 هل هناك دواء يحل مشكلتي هذه مثل دواء بروزاك هل ينفع للوسواس القهري الخفيف والاكتئاب الخفيف والارق وكم اخذ جرعة منه حتا ينفع باذن الله الواحد الأحد,['No'],Human Annotators
ارجوكم ساعدوني فانا اتخيل اشياء غريبة و اتخيل ان مشاكل ستحدث لي اصبحت اخاف كثيرا من المستقبل احب ان اجرح نفسي بالات حادة و افكر انه لو واجهتني مشكلة سانتحر احس بغثيان و بكاء,['No'],Human Annotators
اريد دكتور نفسي اريد الاستفسار عن شئ انا ابكي كثيرا ودائما أشعر بالوحده بالرغم من وجود الكثير من الناس حولي دائما ابكي بسبب أو دون سبب,['No'],Human Annotators
استعمل دواء ابيليفاي 30 منذ شهرين و تحسنت بنسبة 10% متى يبدأ مفعولخ الكامل,['No'],Human Annotators
استمر هذا الشعور لاكثر من اسبوعين مع الخوف الشديد من الموت وبعدها خف هذا الشعور وبدبت اشعر بطداع وثقل في الراس والعين وكتمة في الصدر وجفاف في الحلق واسهال متقطع من شهرين والغثيان وطعم مر في الحلق وفقدان الشهية للاكل ولا استطيع النوم من الخوف,['No'],Human Annotators
استمني شبه يومي واحاول اوقف للامتحانات بس علي نص يوم بشعر بضيق شديد وتوتر وحاله نفسيه صعبه جدا مع ضغط الامتحانات وبكل الطرق لا اتحسن حتي استمني فاشعر براحه لكن يسبب النعاس مما يضر المذاكره ايضا، هل يوجد دواء للتوتر وتعديل المزاج مثل علاج الاكتئاب لكن لا يؤثر علي الدرسه مثل ارهاق او ضعف تركيز,['No'],Human Annotators
اسماء ادويه تعالج انفصام الشخصيه,['No'],Human Annotators
اشعر (بمعظم الاحيان) خصوصا بالساعات المتأخرة من الليل بحزن شديد لا ارادي ورغبه بالبكاء، مع تسارع نبض القلب والرجفان و ضيق التنفس والشعور بقرب الموت، مع عدم القدرة على السيطرة,['No'],Human Annotators
اشعر انني لااستطيع التحكم بنفسي عند الغضب اشعر ان عقلي ليس بجسدي ليس بمكانه الصحيح كان بداخلي وحش عند الغضب لا اتحكم بنفسي ابداً,['No'],Human Annotators
اشعر بالحزن الداءم و انعدام التفاؤل و كثرة الرغبه في الانتحار و الخضه الدايمه من اي شئ,['No'],Human Annotators
اشعر بالقلق والخوف من اي شي اشعر بالخوف على اهلي واشخاصي المفضلين اشعر ان قلبي يدق بسرعه اشعر ب اشياء كثيره لا استطيع التعبير عنها,['Social|Relationship'],Human Annotators
اشعر بالكسل لدرجة اهمل نظافتي الشخصية طويلا ومكاني ايضا وكلما احاول اتغير ارجع افشل واكره الطلعات واحس لاداعي لوجودي وشعور اتمنى اموت دائما وافكر شنو راح يصير بالمستقبل,['Social|Relationship'],Human Annotators
اشعر باني مرهق ومتعب لكن عند طلب شيء مني او افعل شيء يطلب مني يذهب الشعور بالتعب لكن متشتت فكرياوعدم التركيز في ابسط الاشياء هل اقوم بتحليلات.شكرا,['No'],Human Annotators
اشعر باني مكتئب وتظهر فيني اعراض الاحساس ب البكاء بدون سبب الحزن دون سبب فجاه والرغبه بعدم البقاء باي شي او فعل شي عدم وجود طاقه لفعل اي شي في اليوم عدم الرغبه ب الاكل كثيرا,['No'],Human Annotators
اشعر بتوتر عصبي وضيق يزداد ويظهر اكتر عند وجود مسبب للتوتر وان كان بسيط ويكون التوتر في المقام الاول في صورة غثيان شديد جدا وعدم رغبة في الاكل وفقدان للشهية يسبب نوع من قفل المعدة لايام ويقل مع زوال مسبب التوتر حتي وان كان مسبب بسيط مثل سفر او مقابلة عمل بالاضافة لشعوري بنوع من القلق والحزن احيانا,['Social|Relationship'],Human Annotators
اشعر بتوتر عند الغضب او الوقوع ف مشكلة مع ارتعاش في أطراف جسدي ولا تحمني رجلي علي الوقوف مع ازدياد نبضات القلب .هل هذا مرض ؟ وما علاجه؟وشكرا,['No'],Human Annotators
اشعر بحزن دائم رغم صغر سني وحياتي مستقرة زواجي سعيد جدا وحالتي المادية جيدة جدا ، ولكنني عالقة بمشاكل الماضي واشعر بأني اصغر التفاصيل المزعجة من الماضي تطاردني ولا استطيع التخلص من هاذا ولا استطيع التقدم بحياتي بشكل ايجابي ودائما ما يصيبني نوبات بكاء وحزن لا اعلم اذا كانت اكتئاب ما الحل,['Social|Demographics'],Human Annotators
اشعر بفقدان الرغبه في كل شيء مستمر منذ ثلاثة اشهر متزامن مع افكار انتحاريه احياناً كوابيس خوف غير مبرر تصرفات غير مدروسه,['No'],Human Annotators
اشعر بكتئاب عمري 17 اغلب مشاكلي مع اهلي اريد دائما ايذائهم في احلامي وتخيل انهم علي وشك الموت و كل الاهتمام اصبح لي اكرهمم مع انهم لم بفعوا شي سوي عد الثقه و الضرب و تفتيش ورائي اشعر دايما انني علي صواب مهما كانت غلطتي احب الجميع ماعدا امي اريد ان ءاذي نفسي باي طريقه لاشعرهم بلسوء و ذمب تجاهي قمت 2,['Social|Relationship'],Human Annotators
اشعر بنعاس دائما وشرود ذهني مع ان الجرعه حبه واحده واخذت الان نص حبه هلا هناك بديل ام مالحل؟؟,['No'],Human Annotators
اشعر بوحده وابكي كثيرا ثم تأتي فترات اضحك دون سبب مسبق فجاة اريد ان اكون طبيعيا في التصرف ورغم اختلاطي بالعائلة الا انني اشعر انه لا احد يفهمني منهم فاكتم دائما مااريد الحديث عنه واتأذى بسبب الكتمان دخلت في اكتئاب قبل اسبوع ماذا عساي ان افعل,['Social|Relationship'],Human Annotators
اشعر كأن الهواء لا يدخل من انفي واشعر بكتلة بالحلق وشعور بالبلعوم كضغط ولكن عندما افعل شي انسى الشعور ويذهب ولا يعود الا عندما اتذكره وعندما انام انام طبيعي دون اضطرابات او انقطاع نفس نومي,['No'],Human Annotators
اشعر وكأني كالقنبلة الموقوته حين الغضب ولهذا احاول ان افرغ غضبي في اشياء عاديه لا تؤذي من حولي فاذهب واجري واصرخ او اطعن الطاولات بالسكين او ارمي الملاعق في المنزل بقوه بسببه,['No'],Human Annotators
اشعر وكاني في حلم بعض الاحيان مع قلة في التركيز وارهاق في كامل الجسم مع قلة الرغبة في كثير من الاشياء وعدم الاستطاعة على نوم ذهبة لطبيب وقام بجميع التحاليل ولم يوجد شيئ واشعر,['No'],Human Annotators
اصبت باكتئاب ولادة منذ ٣سنوات و تعالجت و في حملي الثاني عاد الاكتئاب و الخوف و تعالجت ايضا مع العلم ان الطبيب لم يوقف العلاج من الاكتئاب الماضي هل سأحتاج طول عمري علاج للاكتئا,['No'],Human Annotators
اصبت بالاضطراب الوجداني منذ 2008 تكررت النوبات سنة 2008 و 2009 و 2013 و 2017 و 2018 انا اخذ علاج تيجرتول200 ص و م ارايبرزول ص و اولابكس 10 م انا عايز اتعالج نفسي بدون دواء...,['No'],Human Annotators
اعاتي من افكار تسلطيه وقهريه دائمه بعض الاحيان تنقص و لكن الان اعاني من نوبه شديده في الوسوسه عامه و وسواس في الدين خاصه احتاج الى علاج لتهدأ هذه الوساوس و الافكار السوداويه,['No'],Human Annotators
اعانى من الم ف الصدر وضيق التنفس و زغلله فى العين وأجريت منظار للمعده وتبين ارتجاع مرئ هل الارتجاع يسبب كل هذا ؟,['No'],Human Annotators
اعاني دائما من مشاكل عائليه اريد ان اخرج من هذه الحياة التي انا فيها انا مثلي الجنس منذ ان كانت عندي 14 سنة و انا اميل لهذا المجال احاول الخروج منه عبر الصلاة والكثير,"['Religion', 'Social|Relationship']",Human Annotators
اعاني عدم القدره علي النوم منذ سنوات و استعملت ادويه كثيره واخيرا سيروكويل و ريميرون و للاسف لم ينجحا اشعر بانني مرهق وفي في حاجه للنوم و لا استطيع ان انام و لذلك تناولت نايت كالم معهما للدخول في النوم. فعلا تعبت. اعاني من الضغط و خوارج بطينيه,['No'],Human Annotators
اعاني من احمرار شديد في الوجه واتلبك ارتجف داخليا وابرد (يداي) اذا كنت ذاهبة لوحدي إلى مكان ما اصاب بالتوتر الشديد حساسة وابكي كثيرا وثقتي بنفسي 0,['Social|Relationship'],Human Annotators
اعاني من ارتجاف شديد مع سرعة ضربات القلب مع خوف مع الشعور بالا ختناق عند التفكير بالموت وخاصة عندما اكون برحله سفر وأحياناً عندما أفكر بالايام العاديه أحياناً وجزاكم الله خير,['No'],Human Annotators
اعاني من اضطراب في الساعه البيولوجيه منذ سنوات عدة مما سبب لي اضطراب فالاعصاب والنوم والشعبيه بالاضافه اني اعاني من الوساس القهري الشديد من بعد منتصف الليل الي الظهر وأمراض الذهان ثنائيه القطب ومرض عدم الاتصال بالعالم الخارجي كما قالي ليى الطبيب المعالج,['No'],Human Annotators
اعاني من اضطرابات نفسية من سنوات اختلف فيني كل شيء فترات بسيطه اكون فيها بخير وبالشهور اعاني من ضيقه واكتئاب حاولت اتغلب على هذا الشيء كثير وما قدرت لجأت للأطباء النفسيين بس ك,['No'],Human Annotators
اعاني من اكتئاب شديد انا من النوع الي اجلس في غرفتي من يوم انولدت ما اطلع الى لغرض معين دخلت الجامعة احببت فتاة الان تتجاهلني والان انا مصاب بالتفكير الدائم واكتئاب شديد هل من حل,['Social|Relationship'],Human Annotators
اعاني من اكتئاب شديد جداً ورهاب اجتماعي,['No'],Human Annotators
اعاني من اكتئاب و حزن شديد و بعد الاحيان أودي نفسي و مجروحة كثيرا و لا افهم نفسي رأسي مشوش كثيرا يائسة من كل شيء,['No'],Human Annotators
اعاني من اكتئاب وخمول,['No'],Human Annotators
اعاني من اكتئاب ونرفزة ومزاج سيء ليا اكثر من شهر الان او شهر ونص باخذ سوليان بدأت ب١٠٠ ملج والان من ليا ٢٥ يوم باخذ ٢٠٠ ملج و٣٠٠ ولبترين السؤال هل اكمل عالعلاج نفسه لانه ياخذ وقت الين يبدأ مفعوله ولا اعمل تحاليل اخرى,['No'],Human Annotators
اعاني من الارق منذ سنه ونص تقريبا ولكن هذه الاشهر زاد الارق أكثر بالرغم انني اداوم ساعات طويله وارجع لغرفتي ابي انام مش قادره تتعبني افكاري يتعبني عقلي من الافكار يتعبني تواجدي بين كمية الاصدقاء(بالجامعة)اريد الهروب دايم لااعرف الى اين،اكتب لك وانا من ساعتين احاول النوم ولكن ماستطعت,['Social|Relationship'],Human Annotators
اعاني من الاكتئاب و فقدان الشهية ، و حزن شديد في اخر الليل. اعاني من الطاقات السلبية و كسول و تعب,['No'],Human Annotators
اعاني من الخوف الشديد والتعرق و الرعشه في اسفل ظهري عدت الثانوية ٣ مرات لاني بخاف ادخل الامتحانات؛دكتور كتبلي(سيتالوبرام٤٠مجم قرص ليلا+ميرتازبين٣٠مجم قرص ليلا + توبمود٥٠مجم قرص صباحا)وللذاكرة(كيروفيت+فينبوستين٥مجم قرصين +بيراسيتام١٢٠٠ قرصين +فينكامين٣٠مجم قرص صباحا)هل هذا جيد,['No'],Human Annotators
اعاني من الخوف المرضي واريد استخدام تمرين الاسترخاء.. فهل يقلل الخوف لمدة قصيرة فقط أم يقلله عامة علي المدي البعيد؟,['No'],Human Annotators
اعاني من الخوف والقلق و التفكير المسيطر وارتفاع ضربات قلبي وتعرق اليدين ..هل دواء سيبرالكس له اضرار ؟ لاني قرات ان له اعراض انسحابيه متعبه وانا خايف جدا من استخدامه,['No'],Human Annotators
اعاني من الخوف وتنبؤات من كلام اهلي وبصمتهم انهم يبون يقتلوني بدون سبب والي محرضهم ابوي,['Social|Relationship'],Human Annotators
اعاني من الرهاب الاجتماعي والقلق كيف يمكنني معالجة ذلك دون الذهاب الى طبيب نفسي،. هل يوجد دواء يمكن اخذه بدون وصفة طبية من طبيب؟,['No'],Human Annotators
اعاني من الشكوك و تخيلات كثيرة مثل ان كل الناس تراقبني و لدي احساس انني عظيم من بين كل الناس و اشك انهم يراقبون مكالمات عبر الهاتف و اتهم اناس في كل مرة بانهم مسيحيون واتخاصم مع الناس و لدي قوة خارقة و اريد الانتحار واتكلم كثي,['Social|Relationship'],Human Annotators
اعاني من الضيق وقله النوم وكثره السهر والتفكير في الموت بكثره والحزن الشديد الارهاق وعدم الشعور بالسعاده وعدم التركيز وتصفيه ذهني وعدم الثقه بالنفس وشعور بالذنب,['No'],Human Annotators
اعاني من القلق ، وصفلي الدكتور لوسترال ٥٠ ملج كل يوم حبة واحدة سؤال هل هذه الجرعة تسبب السمنة وهل ستؤدي الى ضعف الاداء الجنسي ام لا (انا مقبل على زواج ),['Culture|Information'],Human Annotators
اعاني من الم الراس طيلة اليوم وثقله كما احس ان دماغي منكمش كثييير النسيان وتصاحب هذه الاعرض اعراض اخرى كالرهاب الاجتماعي والخجل وضعف الثقة بالنفس... ماسبب هذه الاعراض علما اني لدي انجراف في الانف مما يسبب لي الازعاج بانفي واعاني كذلك من الم المعدة هل لهذه الاشياء علاقة بالاعراض السابق ذكرها؟ وشكرا,['No'],Human Annotators
اعاني من النعاس الشديد و صداع كذلك اشعر في الرغبة بالتوقف على كل شي لدي مزاجية رهيبة قد اكره احب الناس لي دون سبب,['No'],Human Annotators
اعاني من تخيلات غريبه اثناء النوم حيث استيقظ تقريبا يوميا و اتخيل مخلوقات غريبه حولي و احول ابعادها او قتلها اكون في هذه الحاله واعي لما يحصل حولي ثم فجأه استيقظ بشكل كامل و اعود للنوم مجددا ، ما هو السبب؟,['No'],Human Annotators
اعاني من توتر بلا سبب عصبية شدية وبكاء وحزن كما اعاني من احلام اليقظة وجربت قراءة كتب وقران ورياضة ولم اتغير كثرة التفكير وقليلة النوم وقلقة طوال الوقت أثر هذا على صحتي أعاني من أمراض ونقص وزن وفقدان الارادة لا استطيع الذهاب لطبيب نفسي اريد حلولا,['Culture|Norms and Morals'],Human Annotators
اعاني من ثقل الراس والتعب طيلة اليوم و الرهاب الاجتماعي والخجل امام الناس وعدم القدرة على الدخول في الحديث معهم. مع اعراض اخرى كالاكتئاب والم المعدة وضيق في تنفس وصعوبة الكلام مع ضعف الصوت ما سبب هذه الاعراض ؟ وهل للعادة السرية علاقة بذلك ؟,['No'],Human Annotators
اعاني من حالة قلق وحزن وتقلبات في المزاج حتى في معظم الاوقات لا استطيع النوم بسبب كثرة التفكير والجى الى الحبوب المنومه,['No'],Human Annotators
اعاني من حالة من القلق والتوتر والاكتئاب بسبب حادثة حدثت من فترة قصيرة سببت لي انني استيقظ من النوم حزين وخائف واصحبت انفر من الاشياء التي كنت احبها واصبحت افضل الوحدة,['No'],Human Annotators
اعاني من حكة في كل جسمي،تعب وخمول واوجاع في الجسم،عسر اخراج الغازات،وانتفاخ في البطن،غثيان طول الوقت،إحساس بالحرارة قشعريرة،اعاني من بطانة الرحم وكآبة,['No'],Human Annotators
اعاني من خجل شديد عند التحدث مع الاخرين وخوفي من تقطع الكلام وليس لدي ثقه بنفسي واميل للعزله,['Social|Relationship'],Human Annotators
اعاني من خوف وخجل زائد والعزلة عند التجمعات وقلة التحدث وافضل السكوت,['Social|Relationship'],Human Annotators
"اعاني من رهاب اجتماعي فضيع سادكر موقفين يلخصان كل شيء ,في صلاة العيد الفائتة قدمني اهلي للصلاة بهم ما ان بدات حتى كاد يغمى علي وكان نفسي يتقطع كأني جريت لمسافة.وقد لاحضو دلك واستفسرو مادا حل بي.الموقف التاني في وليمة عرس طلب مني القاء كلمة فشعرت باحراج شديد لم اقوى على الكلام حتى فاعتدرت وانسحبت.","['Religion', 'Social|Relationship']",Human Annotators
اعاني من سرعة الغضب حتى على ابسط الامور و عندما اكون غاضبا لا افكر بجد ماذا اقول فأحيانا يتسبب لي بمشاكل مع الاشخاص فعندما اهدأ اعرف اني بالغت الاسباب و العلاج,['Social|Relationship'],Human Annotators
اعاني من صعوبة النوم رغم النعاس الامر الذي سببلي قلق و توتر لدرجة البكاء ، و اصبح كلما يحين وقت النوم اتوتر و اخاف ان لا استطيع النوم، اريد دواء يعالج ذلك لا يسبب الادمان,['No'],Human Annotators
اعاني من ضبايبية في الدماغ وحساسية من الضوء والتشوش بشكل دائم منذ ٣ سنوات الى يومي هذا، بعد تركي للحشيش مع العلم انني خضعت للعلاج النفسي هل سبب الحشيش ضرر دائم للنواقل العصبية,['No'],Human Annotators
اعاني من ضيق او الم في الصدر الم لا اعلم كيف اشرحه بسبب التوتر والضغط لانيي انتظر شي وااي الان لم يتم الاعلان عنه وانا خائفة من الاختيار لذلك اشعر بضيق والم في الصدر من الساعة 8 صباحا الي الان وانا اشعر به هو لا يولمني لاكنني اشعر بلضيق اخاف ان يصيبني شي في ما العمل ماذا افعل كيف يذهب هذا الشي,['No'],Human Annotators
اعاني من ضيقه وقلق شديد وكتمه وافكار انتحاريه,['No'],Human Annotators
اعاني من عدة اشياء منها الخوف والقلق والأنهيار تقلبات مزاجية وايضًا غالبًا لا اشعر بشيء يعني لاحزن ولا فرح وكأنني بحلم الثقه بالنفس جدًا عالية وايضًا التخيلات و سماع الأصوات التخيلات والأصوات صارت مرتين فقط,['No'],Human Annotators
